Organization Name,Organization Name URL,Headquarters Location,Industries,Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Funding Rounds,Founded Date,Founded Date Precision,Industry Groups,Stock Symbol,Stock Symbol URL,Stock Exchange,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Investor Type,Investment Stage
Glodon,https://www.crunchbase.com/organization/glodon,"Beijing, Beijing, China","Consumer Electronics, Information Technology, iOS, Real Estate, SaaS, Software",http://www.glodon.com/en/,,,,,1998-01-01,year,"Consumer Electronics, Hardware, Information Technology, Mobile, Platforms, Real Estate, Software",002410,https://www.crunchbase.com/ipo/glodon-ipo--f4d41181,SZSE - Shenzhen Stock Exchange,,,,,,,,
Digital China,https://www.crunchbase.com/organization/digital-china-information-technology-services-company,"Haidian, Beijing, China","Apps, Enterprise Software, Information Technology",https://www.dcholdings.com,73140000,USD,73140000,1,2001-01-01,year,"Apps, Information Technology, Software",0861,https://www.crunchbase.com/ipo/digital-china-information-technology-services-company-ipo--5bb471bd,HKG - Hong Kong Stock Exchange,,,,,,,,
Sinodata,https://www.crunchbase.com/organization/sinodata,"Haidian, Beijing, China","Computer, Software, Software Engineering, Technical Support",http://www.sinodata.net.cn/,36000000,CNY,5307933,1,2003-12-13,day,"Consumer Electronics, Hardware, Information Technology, Other, Science and Engineering, Software",002657,https://www.crunchbase.com/ipo/sinodata-ipo--d716440f,SZSE - Shenzhen Stock Exchange,,,,,,,,
Newonder Special Electric,https://www.crunchbase.com/organization/newonder-special-electric,"Beijing, Beijing, China","Electronics, Manufacturing, Technical Support",http://www.xinhuadu.com.cn/en,,,,,1985-01-01,year,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Other",,https://www.crunchbase.com/ipo/newonder-special-electric-ipo--d9ea6966,SZSE - Shenzhen Stock Exchange,,,,,,,,
Suochen Information Technology,https://www.crunchbase.com/organization/sochen-information-technology,"Shanghai, Shanghai, China","Hardware, Information Technology, SaaS, Software",http://www.demxs.com/,,USD,,4,2006-01-01,year,"Hardware, Information Technology, Software",787507,https://www.crunchbase.com/ipo/sochen-information-technology-ipo--a386ae4c,SSE - Shanghai Stock Exchange,,,,,,,,
Mingyuanyun,https://www.crunchbase.com/organization/mingyuanyun,"Shenzhen, Guangdong, China","Construction, Enterprise, IaaS, Information Technology, Real Estate, SaaS, Software",http://www.mingyuanyun.com/,,,,,2019-01-01,year,"Information Technology, Other, Real Estate, Software",909,https://www.crunchbase.com/ipo/mingyuanyun-ipo--e2aa4887,HKG - Hong Kong Stock Exchange,,,,,,,,Secondary Market
NVC Lighting,https://www.crunchbase.com/organization/nvc-lighting,"Huizhou, Guangdong, China","CleanTech, Energy Efficiency, Enterprise Software",http://www.nvc-lighting.com.cn,41000000,USD,41000000,2,1998-01-01,year,"Energy, Software, Sustainability",2222,https://www.crunchbase.com/ipo/nvc-lighting-ipo--f76f53a4,HKG - Hong Kong Stock Exchange,,,,,,,,
Shenwan Hongyuan,https://www.crunchbase.com/organization/shenwan-hongyuan-h-k-limited,"Shanghai, Shanghai, China","Cyber Security, Internet",http://www.swhysc.com/,,,,,1992-01-01,year,"Information Technology, Internet Services, Privacy and Security",000166,https://www.crunchbase.com/ipo/shenwan-hongyuan-h-k-limited-ipo--a4cb0921,SZSE - Shenzhen Stock Exchange,,,,,,,Venture Capital,
Perfect World,https://www.crunchbase.com/organization/perfect-world-b970,"Beijing, Beijing, China","Marketing, Web Development",http://www.wanmei.com/index_en.html,,,,,2004-01-01,year,"Sales and Marketing, Software",002624,https://www.crunchbase.com/ipo/perfect-world-b970-ipo--0e2fe598,SZSE - Shenzhen Stock Exchange,,,,,,,,
JIAYIN ONLINE,https://www.crunchbase.com/organization/jiayin-online,"Xiamen, Fujian, China","Big Data, Cloud Computing, Internet of Things",http://www.jiayinonline.com,3000000,CNY,482883,1,2008-04-07,day,"Data and Analytics, Internet Services, Software",831960,https://www.crunchbase.com/ipo/jiayin-online-ipo--c81c8251,NEEQ - National Equities Exchange and Quotations,,,,,,,,
"Clou Electronics Co., Ltd.",https://www.crunchbase.com/organization/shenzhen-clou-electronics-co-ltd,"Shenzhen, Guangdong, China","Electronics, Energy Storage, Enterprise Software, Manufacturing",http://www.szclou.com,206000000,CNY,24909311,2,1996-01-01,year,"Consumer Electronics, Energy, Hardware, Manufacturing, Software",002121,https://www.crunchbase.com/ipo/shenzhen-clou-electronics-co-ltd-ipo--d3ec0b37,SZSE - Shenzhen Stock Exchange,,,,,,,,
Pony Testing International Group,https://www.crunchbase.com/organization/pony-testing-international-group,"Beijing, Beijing, China","Professional Services, Technical Support",http://www.ponytest.com,,,,,2002-06-10,day,"Information Technology, Other",300887,https://www.crunchbase.com/ipo/pony-testing-international-group-ipo--2283b5f2,SZSE - Shenzhen Stock Exchange,,,,,,,,
Tedu.cn,https://www.crunchbase.com/organization/tedu-cn,"Beijing, Beijing, China","EdTech, Education, Information Technology",http://www.tedu.cn,25285800,USD,25285800,5,2002-09-26,day,"Education, Information Technology, Software",TEDU,https://www.crunchbase.com/ipo/tedu-cn-ipo--7590b50d,NASDAQ,19671400,USD,19671400,,,,,
GstarCAD,https://www.crunchbase.com/organization/gstarcad-b918,"Suzhou, Jiangsu, China","Apps, Software, Web Development",https://www.gstarcad.com/,50000000,CNY,6192681,1,1992-01-01,day,"Apps, Software",832097,https://www.crunchbase.com/ipo/gstarcad-b918-ipo--925e5ce9,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Visionox,https://www.crunchbase.com/organization/visionox,"Nanjing, Jiangsu, China","Information Technology, Manufacturing, Robotics, Virtual Reality, Wearables",http://www.visionox.com,,,,,2001-01-01,year,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Science and Engineering, Software",688496,https://www.crunchbase.com/ipo/visionox-ipo--5f3a48c3,SSE - Shanghai Stock Exchange,824000000,CNY,118058341,3296000000,CNY,472233365,,
Formosa Petrochemical,https://www.crunchbase.com/organization/formosa-petrochemical,"Taiwan, Jiangsu, China","Enterprise Software, Manufacturing, Oil and Gas",http://www.fpcc.com.tw/English/about%20fpcc/Business%20Overview.htm,,,,,1992-01-01,year,"Energy, Manufacturing, Natural Resources, Software",6505,https://www.crunchbase.com/ipo/formosa-petrochemical-ipo--82349519,TWSE - Taiwan Stock Exchange,,,,,,,,
Shenzhen Das Intellitech,https://www.crunchbase.com/organization/shenzhen-dashi-intelligence-co-ltd,"Shenzhen, Guangdong, China",Enterprise Software,http://www.chn-das.com,4500000,CNY,543791,1,1995-01-01,year,Software,002421,https://www.crunchbase.com/ipo/shenzhen-dashi-intelligence-co-ltd-ipo--4b426624,SZSE - Shenzhen Stock Exchange,,,,,,,,
China Beststudy Education Group,https://www.crunchbase.com/organization/china-beststudy-education-group,"Guangzhou, Guangdong, China","EdTech, Education, Primary Education",http://www.beststudy.com/,,,,,,,"Education, Software",3978,https://www.crunchbase.com/ipo/china-beststudy-education-group-ipo--e4ca9935,HKG - Hong Kong Stock Exchange,343300000,HKD,43837806,,,,,
Western Securities,https://www.crunchbase.com/organization/western-securities,"Xianyang, Shaanxi, China","Finance, Network Security, Security",http://www.westsecu.com/,,,,,2001-01-09,day,"Financial Services, Information Technology, Privacy and Security",002673,https://www.crunchbase.com/ipo/western-securities-ipo--1bbd1998,SZSE - Shenzhen Stock Exchange,,,,,,,,
Kinslot,https://www.crunchbase.com/organization/kinslot,"Guangzhou, Guangdong, China","Document Management, Information Technology, Software",https://www.kinslot.com/,,,,,2000-09-01,day,"Information Technology, Software",839142,https://www.crunchbase.com/ipo/kinslot-ipo--a472e33e,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Dingtong Precision,https://www.crunchbase.com/organization/dongguan-dingtong-precision-metal,"Dongguang, Guangdong, China","Automotive, Manufacturing, Sales Automation",http://www.dingtong.net.cn,,,,,2003-04-01,month,"Information Technology, Manufacturing, Sales and Marketing, Software, Transportation",688668,https://www.crunchbase.com/ipo/dongguan-dingtong-precision-metal-ipo--29245c93,SSE - Shanghai Stock Exchange,,,,,,,,
LongShine Technology,https://www.crunchbase.com/organization/longshine-technology-co-ltd,"Wuxi, Anhui, China",Enterprise Software,http://www.longshine.com,10000000,CNY,1208424,2,1996-01-01,year,Software,300682,https://www.crunchbase.com/ipo/longshine-technology-co-ltd-ipo--4dc32803,SZSE - Shenzhen Stock Exchange,,,,,,,,
BEIJING LONGRUAN TECHNOLOGIES INC,https://www.crunchbase.com/organization/beijing-longruan-technologies-inc,"Beijing, Beijing, China","Big Data, Cloud Computing, Internet of Things, Software",http://www.longruan.com,,,,,2002-01-01,year,"Data and Analytics, Internet Services, Software",688078,https://www.crunchbase.com/ipo/beijing-longruan-technologies-inc-ipo--fea62738,SSE - Shanghai Stock Exchange,,,,,,,,
Hanwang Technology,https://www.crunchbase.com/organization/hanwang-technology,"Beijing, Beijing, China","Humanitarian, Speech Recognition",http://www.hw99.com/,,,,,1998-01-01,year,"Community and Lifestyle, Data and Analytics, Social Impact, Software",002362,https://www.crunchbase.com/ipo/hanwang-technology-ipo--62402b13,SZSE - Shenzhen Stock Exchange,,,,,,,,
Enjoyor,https://www.crunchbase.com/organization/enjoyor,"Hangzhou, Zhejiang, China","Architecture, Enterprise Software",http://www.enjoyor.net/,35000000,CNY,4931543,2,1992-01-01,year,"Real Estate, Software",300020,https://www.crunchbase.com/ipo/enjoyor-ipo--5e9a7d39,SZSE - Shenzhen Stock Exchange,,,,,,,,
BES,https://www.crunchbase.com/organization/bes-e58f,"Beijing, Beijing, China","CRM, Information Technology, Software",https://www.bessystem.com/,,,,,2008-03-27,day,"Information Technology, Sales and Marketing, Software",688058,https://www.crunchbase.com/ipo/bes-e58f-ipo--a2871a67,SSE - Shanghai Stock Exchange,,,,,,,,
Fujian Yongfu Power Engineering,https://www.crunchbase.com/organization/fujian-yongfu-power-engineering,"Foochow, Fujian, China","Electronics, Mechanical Engineering, Software Engineering",http://www.fjyfdl.com/en/about.php,,,,,1994-03-01,day,"Consumer Electronics, Hardware, Science and Engineering, Software",300712,https://www.crunchbase.com/ipo/fujian-yongfu-power-engineering-ipo--7ecf7880,SZSE - Shenzhen Stock Exchange,,,,,,,,
Linewell Software,https://www.crunchbase.com/organization/linewell-software,"Haidian, Beijing, China","Consumer Software, Manufacturing, Software, Software Engineering",http://www.linewell.com/linewell/gw/index.jsp,,,,,2002-10-18,day,"Manufacturing, Science and Engineering, Software",603636,https://www.crunchbase.com/ipo/linewell-software-ipo--e3c9bdef,SSE - Shanghai Stock Exchange,,,,,,,,
CentLing Technologies,https://www.crunchbase.com/organization/centling-technologies,"Qingdao Shi, Shandong, China","E-Commerce, IT Management, Outsourcing, Software",http://www.centling.com/,,,,,2009-12-29,day,"Commerce and Shopping, Information Technology, Professional Services, Software",871352,https://www.crunchbase.com/ipo/centling-technologies-ipo--d12edb99,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Colorlight,https://www.crunchbase.com/organization/colorlight,"Shenzhen, Guangdong, China","Cloud Data Services, Network Security, Project Management, Rental",https://www.lednets.com/,,USD,,1,2007-01-01,year,"Administrative Services, Commerce and Shopping, Information Technology, Internet Services, Other, Privacy and Security",301391,https://www.crunchbase.com/ipo/colorlight-ipo--25f20666,SZSE - Shenzhen Stock Exchange,1632000000,CNY,231663520,4896000000,CNY,694990560,,
Fujian Foxit Software Development,https://www.crunchbase.com/organization/fujian-foxit-software-development,"Fuzhou, Jiangxi, China","Information Technology, Software, Software Engineering",http://www.foxitsoftware.cn,,USD,,1,2001-01-01,year,"Information Technology, Science and Engineering, Software",688095,https://www.crunchbase.com/ipo/fujian-foxit-software-development-ipo--f6619e34,SSE - Shanghai Stock Exchange,,,,,,,,
Xiamen Tianrui Technology,https://www.crunchbase.com/organization/tipray,"Xiamen, Fujian, China","Document Management, Information Technology, Security",http://www.tipray.com/,,,,,2006-02-08,day,"Information Technology, Privacy and Security, Software",838408,https://www.crunchbase.com/ipo/tipray-ipo--b4c33390,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Narui Radar,https://www.crunchbase.com/organization/narui-radar,"Zhuhai, Guangdong, China","Electronics, Enterprise Software, Manufacturing",https://www.naruida.com,,,,,2014-05-01,month,"Consumer Electronics, Hardware, Manufacturing, Software",787522,https://www.crunchbase.com/ipo/narui-radar-ipo--eef5058a,SSE - Shanghai Stock Exchange,1800000000,CNY,262578226,5420000000,CNY,790652215,,
Joyoung,https://www.crunchbase.com/organization/joyoung-a53a,"Jinan, Shandong, China","Computer, Consumer Goods, Food and Beverage, Home and Garden, Home Improvement, Manufacturing, Product Design, Virtual Reality",http://www.joyoung.com.cn,,,,,2002-07-08,day,"Consumer Electronics, Consumer Goods, Design, Food and Beverage, Hardware, Manufacturing, Real Estate, Software",002242,https://www.crunchbase.com/ipo/joyoung-a53a-ipo--9829299c,SZSE - Shenzhen Stock Exchange,1510180000,CNY,217480934,,,,,
Vastdata,https://www.crunchbase.com/organization/vastdata,"Haidian, Beijing, China","Cloud Management, Database, Security, Software",http://www.vastdata.com.cn,,,,,2007-01-01,day,"Data and Analytics, Information Technology, Internet Services, Privacy and Security, Software",603138,https://www.crunchbase.com/ipo/vastdata-ipo--68563ab3,SSE - Shanghai Stock Exchange,,,,,,,,
SZZT Electronics,https://www.crunchbase.com/organization/szzt-electronics,"Shenzhen, Guangdong, China","Consumer Electronics, Electronics, Information Technology, Mobile Payments, Payments",https://www.szztelectronics.com/,,,,,1993-09-04,day,"Consumer Electronics, Financial Services, Hardware, Information Technology, Mobile, Payments, Software",002197,https://www.crunchbase.com/ipo/szzt-electronics-ipo--3555fa19,SZSE - Shenzhen Stock Exchange,,,,,,,Corporate Venture Capital,Post-Ipo
Yidu Cloud,https://www.crunchbase.com/organization/yidu-cloud,"Beijing, Beijing, China","Analytics, Big Data, Database, Health Care",http://www.yiducloud.com.cn/,,USD,,2,2013-01-01,year,"Data and Analytics, Health Care, Software",2158.HK,https://www.crunchbase.com/ipo/yidu-cloud-ipo--77bea74e,HKG - Hong Kong Stock Exchange,,,,,,,,
Koal Software,https://www.crunchbase.com/organization/koal-software,"Jingan, Shanghai, China","Cyber Security, Network Security, Security, Software",http://www.koal.com/,,,,,1998-03-03,day,"Information Technology, Privacy and Security, Software",603232,https://www.crunchbase.com/ipo/koal-software-ipo--12f986ea,SSE - Shanghai Stock Exchange,,,,,,,,
INVT,https://www.crunchbase.com/organization/invt,"Shenzhen, Guangdong, China","Data Center, Power Grid",http://www.invt-power.com.cn/,,,,,2002-01-01,day,"Energy, Hardware, Information Technology",002334,https://www.crunchbase.com/ipo/invt-ipo--b6d29b82,SZSE - Shenzhen Stock Exchange,,,,,,,,
Sinosun Technology,https://www.crunchbase.com/organization/sinosun-technology,"Shenzhen, Guangdong, China","Developer Platform, Manufacturing, Security",http://www.sinosun.com/,18097640,USD,18097640,4,2003-04-01,month,"Manufacturing, Privacy and Security, Software",300333,https://www.crunchbase.com/ipo/sinosun-technology-ipo--71965c84,SZSE - Shenzhen Stock Exchange,,,,,,,,
FKW,https://www.crunchbase.com/organization/fkw,"Guangzhou, Guangdong, China","Advertising, Internet, Marketing, SaaS",https://www.fkw.com/,,,,,2010-11-16,day,"Advertising, Internet Services, Sales and Marketing, Software",832828,https://www.crunchbase.com/ipo/fkw-ipo--8d0d935d,NEEQ - National Equities Exchange and Quotations,,,,,,,,
Jiangsu Hagong Intelligent Robot,https://www.crunchbase.com/organization/jiangsu-hagong-intelligent-robot,"Minhang, Shanghai, China","Electronic Design Automation (EDA), Manufacturing, Robotics",http://www.hgzngroup.com,,,,,1980-01-01,day,"Hardware, Manufacturing, Science and Engineering, Software",000584,https://www.crunchbase.com/ipo/jiangsu-hagong-intelligent-robot-ipo--a7a2232a,SZSE - Shenzhen Stock Exchange,,,,,,,,
Ningbo Exciton Technology,https://www.crunchbase.com/organization/ningbo-exciton-technology,"Ningbo, Zhejiang, China","Electronics, Enterprise Software, Film, Information Technology, Manufacturing",http://www.excitontech.cn/,,,,,2007-03-09,day,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Media and Entertainment, Software, Video",300566,https://www.crunchbase.com/ipo/ningbo-exciton-technology-ipo--43a1bede,SZSE - Shenzhen Stock Exchange,,,,,,,,
