公司简称,工商全称,统一信用代码,官网,一句话简介,公司简介,行业,子行业,省,市,成立时间,运营状态,员工人数,地址,电话,邮箱,团队姓名,职位,融资次数,融资总额(万人民币)
恒为科技,恒为科技（上海）股份有限公司,91310000748772166A,http://www.embedway.com/,网络可视化基础架构及嵌入式融合计算平台提,"恒为科技是一家网络可视化基础架构及嵌入式融合计算平台提供商，专注于为信息安全、无线网络、网络通信、特种设备、云计算与视频等领域提供嵌入式单板计算机、异构计算平台、大数据处理平台、可二次开发的信息系统平台等产品，帮助用户解决网络接口进行流量数据的采集、分流、分析和管理等问题。
",企业服务,云服务,上海,徐汇区,2003-03,运营中,,上海市徐汇区乐山路33号103室,021-61002300,zhaolan.hu@embedway.com,,,,
倢冠控股,倢冠控股有限公司,,http://www.kinetix.com.hk/,资讯科技基础设施解决方案提供商,"倢冠控股是一家资讯科技基础设施解决方案提供商，专注于资讯科技服务领域，主要为用户提供资讯科技基础设施的分析服务、硬件及软件的采购服务、安装及测试以及集成服务等，并为用户提供资讯科技维护及支援服务。
",企业服务,企业IT服务,香港,九龙城区,2017-02,运营中,,,,,,,,
山科智能,杭州山科智能科技股份有限公司,91330100719572130W,http://www.seck.com.cn/,智能水务解决方案提供商,山科智能是一家智能水务解决方案提供商，基于智能仪表、物联网、软件等技术，专注于节水节能、智慧水务、智能仪器仪表等领域，为用户提供智能型自动计量抄表系统、供水仪表实时监控调度系统、水力模型及智慧水务集成应用软件等产品。,企业服务,企业IT服务,浙江,杭州,1999-11,运营中,,杭州市余杭区文一西路1218号恒生科技园13栋,0571-8891-1100,seckdm@163.com,,,,
富银融资股份,富银融资租赁（深圳）股份有限公司,914403000551449170,http://www.fyleasing.com/,融资租赁、保理及咨询服务商,富银融资股份是一家融资租赁、保理及咨询服务商，根据客户的行业以及其需要的设备提供定制化的融资租赁服务，包括新品直租、新品回租及旧品回租交易，并专注于向中国各地的快速消费品、电子产品、医疗、可替代能源及运输行业提供融资租赁服务。,企业服务,销售营销,广东,深圳,2012-12,运营中,,深圳市福田区福田路国际文化大厦2903A,0755-82900700,fysz@fyleasing.com,,,,
永顺控股,永顺控股香港有限公司,,http://www.winsongrouphk.com/,综合性企业,"永顺控股是一家综合性企业，以环境清洁及灭虫服务为主，帮助用户解决家庭虫害等问题，此外还涉及航空餐饮支援服务，用户涵盖发展商、房地产项目投资者、公用事业等。
",企业服务,综合企业服务,香港,荃湾区,2016-07,运营中,,香港新界荃湾杨屋道8号如心广场2期27楼2702室,00852-2156-3388,info@winsongrouphk.com,,,,
建泉国际控股,建泉国际控股有限公司,,http://www.vbg-group.com/,企业财务顾问服务提供商,"建泉国际控股是一家企业财务顾问服务提供商，主营业务包括企业融资顾问服务、配售及包销服务、及业务咨询服务，其中融资顾问服务包括保荐、合规顾问、财务顾问及独立财务顾问。
",企业服务,销售营销,香港,中西区,2016-04,运营中,,香港中环皇后大道中39号丰盛创建大厦18楼,(852) 2200-7600,info@vbg.com.hk,,,,
美高域,美高域集团有限公司,,http://www.microware1985.com/,资讯科技基建解决方案供应商,美高域是一家资讯科技基建解决方案供应商，专注于IT领域，主要为用户提供资讯科技基建解决方案服务及资讯科技管理服务，并为企业用户提供硬件和软件品牌产品。,企业服务,企业IT服务,香港,观塘区,2016-07,运营中,,香港九龙观塘鸿图道44–46号世纪工商中心1楼,00852-2565-3088,ir@microware1985.com,,,,
安领国际,安领国际控股有限公司,,https://www.edvanceintl.com/,IT安全解决方案增值分销商,"安领国际是一家IT安全解决方案增值分销商，专注于为用户提供IT安全产品及IT安全服务，帮助用户解决企业数据安全问题，同时为终端用户的IT系统提供保障及咨询服务。
",企业服务,企业安全,香港,观塘区,2016-09,运营中,,香港九龙观塘创业街15号万泰利广场39楼,00852-31849400,info@edvanceintl.com,,,,
沛然环保,沛然环保顾问有限公司,,http://www.asecg.com,顾问服务提供商,沛然环保是一家顾问服务提供商，专注于提供不同范畴的顾问服务，业务涉及绿色建筑认证顾问服务、可持续发展及环境评估顾问服务；声学、噪音及震动控制及视听设计及环境、社会及管治（ESG）报告及咨询服务。,企业服务,销售营销,香港,湾仔区,2016-07,运营中,,香港湾仔告士打道160号海外信托银行大厦27楼,00852-28157028,info@aechk.com,,,,
誉成云创数据,宁夏誉成云创数据投资有限公司,91640500094543814X,,云数据中心的投资建设与运营商,誉成云创数据是一家超大型云数据中心的投资建设与运营商，致力于为通信运营商、服务提供商、互联网企业及终端用户提供云应用和服务，未来还将着眼提供大规模和低成本的云计算应用服务。,企业服务,云服务,宁夏,中卫,2014-03,运营中,,中卫市沙坡头区行政中心五楼568号,0955-872-2337,ju.ren@meilicloud.com.cn,,,,
信源企业集团,信源企业集团有限公司,,http://www.xysgroup.com/s/index.php,沥青船出租服务提供商,"信源企业集团是一家沥青船出租服务提供商，主要服务于航运及能源企业运输沥青，根据各类租船协议提供沥青船出租服务，包括期租、程租及包运合同，期限在二至十年之间不等。
",企业服务,其他企业服务,香港,黄大仙区,2018-04,运营中,,,,,,,,
兆邦基地产,兆邦基地产控股有限公司,,https://www.szzhaobangji.com/index.jhtml,综合性企业,"兆邦基地产是一家综合性企业，主要为用户提供建筑机械贸易、建筑机械租赁，以及提供本地运输服务等业务服务，此外还为用户提供内地房地产开发服务。
",企业服务,综合企业服务,香港,中西区,2016-09,运营中,,香港上环干诺道中168-200号信德中心 招商局大厦11楼1116-1118室,852-31507742,enquiry@szzhaobangji.com,,,,
星亚控股,星亚控股有限公司,,,人力资源解决方案提供商,"星亚控股是一家人力资源解决方案提供商，专注于为酒店及度假村业用户提供员工团队解决方案，业务包括为用户提供人力外判服务、人力招聘服务及人力培训服务等。
",企业服务,人力资源,香港,中西区,2015-12,运营中,,香港中环干诺道中111号永安中心9楼911–912室,(+65) 6499 5757,enquiry@singasia.com.sg,,,,
高奥士国际,高奥士国际控股有限公司,,https://www.kos-intl.com/,人力资源服务提供商,"高奥士国际是一家人力资源服务提供商，公司主要为用户提供人力资源服务，包括招聘服务等，同时，公司还会根据用户需求，协助提供工资单和其他管理服务。
",企业服务,人力资源,香港,九龙城区,2018-01,运营中,,,,,,,,
信息发展,上海信联信息发展股份有限公司,913100001322925352,http://www.cesgroup.com.cn/,信息化系统开发与服务提供商,信息发展是一家运用大数据和区块链等技术，面向智慧食安、智慧档案、智慧司法等政府和企业，为数字中国提供行业专有云综合解决方案的服务运营商。,企业服务,企业IT服务,上海,浦东新区,1997-10,运营中,,上海市中江路879号上海天地软件园11号楼,021-5107-7666,zhao.jing@cesgroup.com.cn,,,,
国农科技,深圳国华网安科技股份有限公司,91440300192441969E,http://www.sz000004.cn/,房地产开发及生物医药研发商,国农科技以移动互联网服务为主营业务，旗下拥有北京智游网安科技有限公司、广州国科互娱网络科技有限公司等子公司。,企业服务,行业信息化及解决方案,广东,深圳,1986-05,运营中,,广东省深圳市福田区梅林路卓越梅林中心广场（南区）B座2206A,0755 - 83521596,gnkjsz@163.com,,,,
润利海事,润利海事集团控股有限公司,,https://yunlee.com.hk/,船舶租赁及海事服务提供商,"润利海事是一家香港船舶租赁及海事服务提供商，主要从事船舶租赁、船舶管理、船员、海事咨询、船只维修及保养等业务，旗下拥有58艘船舶，包括20艘自营船舶及38艘租赁船舶，其中54艘船舶用于定期租船业务，剩余4艘船舶则用于航次租船业务或待机。
",企业服务,其他企业服务,香港,九龙城区,2018-04,运营中,,,,,,,,
国泰集团,江西国泰集团股份有限公司,913600007969593637,http://www.jxgtyjy.com/,企业信息化解决方案提供商,"国泰利民是一家企业信息化解决方案提供商，致力于大数据、云计算和人工智能等技术在行业的创新应用与服务，自主研发的主要产品包括“利民红云智慧党建”、“警用案件智能分析作战平台”、“队伍管理职能平台”。
",企业服务,行业信息化及解决方案,江西,南昌,2006-12,运营中,,江西省南昌市高新开发区高新大道699号（聚仁国际2号楼）2101 ,0791-88111612,,,,,
谱尼测试,谱尼测试集团股份有限公司,91110108740053589U,http://www.ponytest.com/,综合性检测服务提供商,谱尼测试是一家综合性检测服务提供商，为政府部门和大型企事业集团用户提供检测、认证、监测等全方位检测认证服务，业务涵盖环境、食品、药品、汽车、日用消费品、电子产品、建筑等领域。,企业服务,科研和社会服务,北京,海淀区,2002-06,运营中,,北京市海淀区中关村环保科技示范园锦带路66号院1号楼,010-8305-5000,pony@ponytest.com,,,,
中炬高新,中炬高新技术实业（集团）股份有限公司,91442000190357106Y,http://www.jonjee.com/cn/,以投资和产业园运营为主的综合性企业,"中炬高新是一个以投资和产业园运营为主的综合性企业，该公司的主营业务是投资房地产、健康食品业、汽车配件业等领域，以及开发运营中炬高新产业园、中炬汽配工业园、中国绿色健康食品产业基地等。
",企业服务,综合企业服务,广东,中山,1993-01,运营中,,中山市中山火炬高技术产业开发区,0760-85596818,jonjee@jonjee.com,,,,
兑吧,杭州兑吧网络科技有限公司,91330106574371572Y,http://www.duiba.com.cn,用户运营服务平台,兑吧是一家致力于帮助互联网企业提升运营效率的用户运营服务平台，包含两大核心业务——积分商城管理工具、活动工具，并承诺终身免费。成立至今一直在运营领域深度耕耘，通过精细化的运营服务，满足企业个性化运营的需求。目前已有4000家主流App接入了兑吧积分商城，如百度手机助手、赶集生活、58同城等。,企业服务,企业IT服务,浙江,杭州,2014-05,运营中,,,,,陈晓亮,CEO,,
